reviewer_name,date,rating,text,developer_reply
Unknown,"March 16, 2025",1,"Soham Adhikarimore_vert Flag inappropriateMarch 16, 2025I had a terrible experience using the Atlys app. Despite its promises of a smooth and hassle-free process, it was anything but that. The app was full of glitches, and customer support was unresponsive and unhelpful. I faced unexpected delays, unclear instructions, and a lack of proper updates, which made the entire process frustrating. Instead of simplifying things, it ended up wasting my time. I wouldn't recommend using this app, especially if you're on a tight timeline or need reliable service89 people found this review helpfulDid you find this helpful?YesNo","Soham Adhikarimore_vert Flag inappropriateMarch 16, 2025I had a terrible experience using the Atlys app. Despite its promises of a smooth and hassle-free process, it was anything but that. The app was full of glitches, and customer support was unresponsive and unhelpful. I faced unexpected delays, unclear instructions, and a lack of proper updates, which made the entire process frustrating. Instead of simplifying things, it ended up wasting my time. I wouldn't recommend using this app, especially if you're on a tight timeline or need reliable service89 people found this review helpfulDid you find this helpful?YesNo"
Unknown,"May 14, 2025",1,"dheeraj chandramore_vert Flag inappropriateMay 14, 2025worst support experience. I applied for a visa to Vietnam along with travel insurance. I initially selected the travel date as June 14, but after making the payment, the system automatically changed it to June 21. I contacted your support team to request a correction due to this issue caused by your system, but they said it cannot be processed. They blamed a system error and claimed it cannot be rectified.There is no proper customer call support also.8 people found this review helpfulDid you find this helpful?YesNo","dheeraj chandramore_vert Flag inappropriateMay 14, 2025worst support experience. I applied for a visa to Vietnam along with travel insurance. I initially selected the travel date as June 14, but after making the payment, the system automatically changed it to June 21. I contacted your support team to request a correction due to this issue caused by your system, but they said it cannot be processed. They blamed a system error and claimed it cannot be rectified.There is no proper customer call support also.8 people found this review helpfulDid you find this helpful?YesNo"
Unknown,"March 21, 2025",1,"Ankit Patelmore_vert Flag inappropriateMarch 21, 2025Beware! Fraud company... I had a highly disappointing and distressing experience with Atlys. Initially, they appeared professional and promised smooth visa processing, but my experience turned out to be completely different. After making the full payment, communication became inconsistent. They delayed responses and avoided providing clear updates. When I raised concerns, they became unresponsive and dismissive. Attempts to get a refund were ignored. still i haven't got my passport back.27 people found this review helpfulDid you find this helpful?YesNo","Ankit Patelmore_vert Flag inappropriateMarch 21, 2025Beware! Fraud company... I had a highly disappointing and distressing experience with Atlys. Initially, they appeared professional and promised smooth visa processing, but my experience turned out to be completely different. After making the full payment, communication became inconsistent. They delayed responses and avoided providing clear updates. When I raised concerns, they became unresponsive and dismissive. Attempts to get a refund were ignored. still i haven't got my passport back.27 people found this review helpfulDid you find this helpful?YesNo"
Unknown,"December 24, 2024",1,"Ronak Poddarmore_vert Flag inappropriateDecember 24, 2024Got a call to delete my review given earlier (2 stars), hence updating with this one. I had given 2 stars because the visa was indeed delivered on time but that star is also lost due to the call. The document collection process and customer service is really bad. They don't shy away from going against the commitments (received on email) and also have no coordination between the teams. Very difficult to reach out to the customer care, even after applying and paying for the visa.63 people found this review helpfulDid you find this helpful?YesNo","Ronak Poddarmore_vert Flag inappropriateDecember 24, 2024Got a call to delete my review given earlier (2 stars), hence updating with this one. I had given 2 stars because the visa was indeed delivered on time but that star is also lost due to the call. The document collection process and customer service is really bad. They don't shy away from going against the commitments (received on email) and also have no coordination between the teams. Very difficult to reach out to the customer care, even after applying and paying for the visa.63 people found this review helpfulDid you find this helpful?YesNo"
Unknown,"January 21, 2025",4,"Faeka Ansarimore_vert Flag inappropriateShow review historyJanuary 21, 2025The process was smooth, and the app has some interesting features. Initially, I thought I wasn’t getting updates, but over time they sped up my visa process. I got my visa on time. Things that can be improved: the passport pickup process, which feels risky since there’s no OTP verification or confirmation. A random person came who didn’t seem to know what was to be picked up. Also, communication can be better, as the status bars don’t always update accurately. Overall, I’m happy11 people found this review helpfulDid you find this helpful?YesNo","Faeka Ansarimore_vert Flag inappropriateShow review historyJanuary 21, 2025The process was smooth, and the app has some interesting features. Initially, I thought I wasn’t getting updates, but over time they sped up my visa process. I got my visa on time. Things that can be improved: the passport pickup process, which feels risky since there’s no OTP verification or confirmation. A random person came who didn’t seem to know what was to be picked up. Also, communication can be better, as the status bars don’t always update accurately. Overall, I’m happy11 people found this review helpfulDid you find this helpful?YesNo"
Unknown,"June 3, 2025",4,"Kirti Shahmore_vert Flag inappropriateJune 3, 2025Got my Australia Visa done by Atlys. Applied from India. The process was hassle-free, and the visa was delivered 4 days earlier than expected. But I must say the journey was tense, as I had already booked my flights and every passing day without the visa was keeping me on the edge. Their app is gimmicky. The status updates you see on the app is just dummy data that they have created just to keep the customer thinking that things are progressing. It's far from reality. But email support was good.Did you find this helpful?YesNoAtlysJune 3, 2025Hi, we are glad to hear that we could serve you well. Thanks for sharing your feedback, it means a lot to us!","Kirti Shahmore_vert Flag inappropriateJune 3, 2025Got my Australia Visa done by Atlys. Applied from India. The process was hassle-free, and the visa was delivered 4 days earlier than expected. But I must say the journey was tense, as I had already booked my flights and every passing day without the visa was keeping me on the edge. Their app is gimmicky. The status updates you see on the app is just dummy data that they have created just to keep the customer thinking that things are progressing. It's far from reality. But email support was good.Did you find this helpful?YesNoAtlysJune 3, 2025Hi, we are glad to hear that we could serve you well. Thanks for sharing your feedback, it means a lot to us!"
Unknown,"April 29, 2025",4,"harshal sanghavimore_vert Flag inappropriateApril 29, 2025great experience overall except for the travel insurance part which defaulted to 1 week even though my trip was 2 weeks and essentially made me pay for 1 week of coverage which was wasted money. & Atlys didn't do anything in spite of me giving this feedback to them. ideally they should refund that money since it didn't help cover my trip completely. but the visa experience was pretty seamless. I would recommend them for the visa but suggest that you get travel insurance from elsewhere like AckoDid you find this helpful?YesNo","harshal sanghavimore_vert Flag inappropriateApril 29, 2025great experience overall except for the travel insurance part which defaulted to 1 week even though my trip was 2 weeks and essentially made me pay for 1 week of coverage which was wasted money. & Atlys didn't do anything in spite of me giving this feedback to them. ideally they should refund that money since it didn't help cover my trip completely. but the visa experience was pretty seamless. I would recommend them for the visa but suggest that you get travel insurance from elsewhere like AckoDid you find this helpful?YesNo"
Unknown,"May 26, 2025",1,"Tinku Mittalmore_vert Flag inappropriateMay 26, 2025Very disappointed with the service. Our Japan visa applications for four people were rejected, and there was no proper communication or timely updates throughout the process. The refund process has also been extremely slow, with no clear timeline or support. Not recommended if you expect reliability and transparency.3 people found this review helpfulDid you find this helpful?YesNoAtlysMay 27, 2025Hi Tinku, we regret the inconvenience caused. Please share your registered email address/ credentials on review-escalations@atlys.com so that we can assist you at the earliest.","Tinku Mittalmore_vert Flag inappropriateMay 26, 2025Very disappointed with the service. Our Japan visa applications for four people were rejected, and there was no proper communication or timely updates throughout the process. The refund process has also been extremely slow, with no clear timeline or support. Not recommended if you expect reliability and transparency.3 people found this review helpfulDid you find this helpful?YesNoAtlysMay 27, 2025Hi Tinku, we regret the inconvenience caused. Please share your registered email address/ credentials on review-escalations@atlys.com so that we can assist you at the earliest."
Unknown,"May 31, 2025",1,"Visweshwaran Rameshmore_vert Flag inappropriateShow review historyMay 31, 2025One of the worst services I have ever received. First, they add you to a WhatsApp group of four, and literally no one will respond to your queries. You have to chase behind them everyday regarding updates. The app asks you to apply for health insurance Please don't do that if you are staying in another country. The embassy expects you to take the local insurance. I lost a lot of money in this. Finally, the itinerary prepared by Atlys members had so many errors, I have to rewrite it. NOT WORTH ITDid you find this helpful?YesNoAtlysMay 31, 2025We are extremely sorry for the disappointing experience. This is definitely not the service we strive for. Please share your registered credentials(email address/ phone number) to us at review-escalations@atlys.com so that our team and investigate this on priority and get back to you with the best possible resolution.
","Visweshwaran Rameshmore_vert Flag inappropriateShow review historyMay 31, 2025One of the worst services I have ever received. First, they add you to a WhatsApp group of four, and literally no one will respond to your queries. You have to chase behind them everyday regarding updates. The app asks you to apply for health insurance Please don't do that if you are staying in another country. The embassy expects you to take the local insurance. I lost a lot of money in this. Finally, the itinerary prepared by Atlys members had so many errors, I have to rewrite it. NOT WORTH ITDid you find this helpful?YesNoAtlysMay 31, 2025We are extremely sorry for the disappointing experience. This is definitely not the service we strive for. Please share your registered credentials(email address/ phone number) to us at review-escalations@atlys.com so that our team and investigate this on priority and get back to you with the best possible resolution.
"
Unknown,"May 26, 2025",1,"Monika Panjetamore_vert Flag inappropriateMay 26, 2025Extremely disappointing experience Atlys collected my passport 16 days ago and I uploaded all required documents right then. Since then, they've repeatedly rejected documents without clear reasons, even after uploading correct ones multiple times. They’ve still not applied for the visa, and our summer holiday plans are stuck because they’re holding our passports. Why collect passports before verifying documents? And why keep asking for passport photos again when they already have the physical 13 people found this review helpfulDid you find this helpful?YesNoAtlysMay 26, 2025Hi Monika, we truly regret the inconvenience you’ve faced. This is definitely not the experience we aim to deliver. Please share your registered credentials (email address, phone number, or passport number) with us at review-escalations@atlys.com so our team can investigate your case on priority and work toward a swift resolution.
","Monika Panjetamore_vert Flag inappropriateMay 26, 2025Extremely disappointing experience Atlys collected my passport 16 days ago and I uploaded all required documents right then. Since then, they've repeatedly rejected documents without clear reasons, even after uploading correct ones multiple times. They’ve still not applied for the visa, and our summer holiday plans are stuck because they’re holding our passports. Why collect passports before verifying documents? And why keep asking for passport photos again when they already have the physical 13 people found this review helpfulDid you find this helpful?YesNoAtlysMay 26, 2025Hi Monika, we truly regret the inconvenience you’ve faced. This is definitely not the experience we aim to deliver. Please share your registered credentials (email address, phone number, or passport number) with us at review-escalations@atlys.com so our team can investigate your case on priority and work toward a swift resolution.
"
